Genre,Name,URL
Sci Fiction,Ubik,https://www.goodreads.com/book/show/22590.Ubik
Sci Fiction,The Lathe of Heaven,https://www.goodreads.com/book/show/59924.The_Lathe_of_Heaven
Sci Fiction,"Children of Time (Children of Time, #1)",https://www.goodreads.com/book/show/25499718-children-of-time
Sci Fiction,"Gateway (Heechee Saga, #1)",https://www.goodreads.com/book/show/218427.Gateway
Sci Fiction,The Gods Themselves,https://www.goodreads.com/book/show/41821.The_Gods_Themselves
Sci Fiction,Blindness,https://www.goodreads.com/book/show/2526.Blindness
Sci Fiction,Prelude to Foundation,https://www.goodreads.com/book/show/30013.Prelude_to_Foundation
Sci Fiction,11/22/63,https://www.goodreads.com/book/show/10644930-11-22-63
Sci Fiction,"The Fifth Season (The Broken Earth, #1)",https://www.goodreads.com/book/show/19161852-the-fifth-season
Sci Fiction,"Divergent (Divergent, #1)",https://www.goodreads.com/book/show/13335037-divergent
Sci Fiction,"Shards of Honour (Vorkosigan Saga, #1)",https://www.goodreads.com/book/show/61903.Shards_of_Honour
Sci Fiction,"Cinder (The Lunar Chronicles, #1)",https://www.goodreads.com/book/show/11235712-cinder
Sci Fiction,"On Basilisk Station (Honor Harrington, #1)",https://www.goodreads.com/book/show/35921.On_Basilisk_Station
Sci Fiction,"A Psalm for the Wild-Built (Monk & Robot, #1)",https://www.goodreads.com/book/show/40864002-a-psalm-for-the-wild-built
Sci Fiction,"The Passage (The Passage, #1)",https://www.goodreads.com/book/show/6690798-the-passage
Sci Fiction,"Saga, Volume 1",https://www.goodreads.com/book/show/15704307-saga-volume-1
Sci Fiction,"Parable of the Sower (Earthseed, #1)",https://www.goodreads.com/book/show/52397.Parable_of_the_Sower
Sci Fiction,"The Reality Dysfunction (Night's Dawn, #1)",https://www.goodreads.com/book/show/45245.The_Reality_Dysfunction
Sci Fiction,The Day of the Triffids,https://www.goodreads.com/book/show/530965.The_Day_of_the_Triffids
Sci Fiction,The First Fifteen Lives of Harry August,https://www.goodreads.com/book/show/20706317-the-first-fifteen-lives-of-harry-august
Sci Fiction,Anathem,https://www.goodreads.com/book/show/2845024-anathem
Sci Fiction,The Sirens of Titan,https://www.goodreads.com/book/show/4982.The_Sirens_of_Titan
Sci Fiction,Stories of Your Life and Others,https://www.goodreads.com/book/show/223380.Stories_of_Your_Life_and_Others
Sci Fiction,"The 5th Wave (The 5th Wave, #1)",https://www.goodreads.com/book/show/16101128-the-5th-wave
Sci Fiction,Batman: The Killing Joke,https://www.goodreads.com/book/show/96358.Batman
Sci Fiction,The End of Eternity,https://www.goodreads.com/book/show/509784.The_End_of_Eternity
Sci Fiction,"Red Rising (Red Rising Saga, #1)",https://www.goodreads.com/book/show/15839976-red-rising
Sci Fiction,"Heir to the Empire (Star Wars: The Thrawn Trilogy, #1)",https://www.goodreads.com/book/show/40604754-heir-to-the-empire
Sci Fiction,"Oryx and Crake (MaddAddam, #1)",https://www.goodreads.com/book/show/46756.Oryx_and_Crake
Sci Fiction,"The House of the Scorpion (Matteo Alacran, #1)",https://www.goodreads.com/book/show/13376.The_House_of_the_Scorpion
Sci Fiction,The Wind-Up Bird Chronicle,https://www.goodreads.com/book/show/11275.The_Wind_Up_Bird_Chronicle
Sci Fiction,"The Maze Runner (The Maze Runner, #1)",https://www.goodreads.com/book/show/6186357-the-maze-runner
Sci Fiction,"The Angel Experiment (Maximum Ride, #1)",https://www.goodreads.com/book/show/13152.The_Angel_Experiment
Sci Fiction,"The Darkest Minds (The Darkest Minds, #1)",https://www.goodreads.com/book/show/10576365-the-darkest-minds
Sci Fiction,"To Be Taught, If Fortunate",https://www.goodreads.com/book/show/43190272-to-be-taught-if-fortunate
Sci Fiction,Roadside Picnic,https://www.goodreads.com/book/show/331256.Roadside_Picnic
Sci Fiction,"Relic (Pendergast, #1)",https://www.goodreads.com/book/show/67035.Relic
Sci Fiction,Exhalation,https://www.goodreads.com/book/show/41160292-exhalation
Horror,’Salem’s Lot,https://www.goodreads.com/book/show/11590._Salem_s_Lot
Horror,Dracula,https://www.goodreads.com/book/show/926414.Dracula
Horror,I Am Legend and Other Stories,https://www.goodreads.com/book/show/547094.I_Am_Legend_and_Other_Stories
Horror,"The Shining (The Shining, #1)",https://www.goodreads.com/book/show/11588.The_Shining
Horror,The Haunting of Hill House,https://www.goodreads.com/book/show/89717.The_Haunting_of_Hill_House
Horror,The Exorcist,https://www.goodreads.com/book/show/179780.The_Exorcist
Horror,"Red Dragon (Hannibal Lecter, #1)",https://www.goodreads.com/book/show/28877.Red_Dragon
Horror,The Anubis Gates,https://www.goodreads.com/book/show/142296.The_Anubis_Gates
Horror,Heart of Darkness,https://www.goodreads.com/book/show/4900.Heart_of_Darkness
Horror,Ghost Stories of an Antiquary,https://www.goodreads.com/book/show/1556093.Ghost_Stories_of_an_Antiquary
Horror,The Man Who Was Thursday: A Nightmare,https://www.goodreads.com/book/show/184419.The_Man_Who_Was_Thursday
Horror,The House on the Borderland,https://www.goodreads.com/book/show/220937.The_House_on_the_Borderland
Horror,The Trial,https://www.goodreads.com/book/show/17690.The_Trial
Horror,Conjure Wife,https://www.goodreads.com/book/show/722251.Conjure_Wife
Horror,Lord of the Flies,https://www.goodreads.com/book/show/84943.Lord_of_the_Flies
Horror,The Wasp Factory,https://www.goodreads.com/book/show/567678.The_Wasp_Factory
Horror,The Ceremonies,https://www.goodreads.com/book/show/757479.The_Ceremonies
Horror,The Damnation Game,https://www.goodreads.com/book/show/34605.The_Damnation_Game
Horror,Swan Song,https://www.goodreads.com/book/show/11557.Swan_Song
Horror,Doctor Faustus,https://www.goodreads.com/book/show/34440.Doctor_Faustus
Horror,Macbeth,https://www.goodreads.com/book/show/13485445-macbeth
Horror,The White Devil,https://www.goodreads.com/book/show/568901.The_White_Devil
Horror,Caleb Williams,https://www.goodreads.com/book/show/195548.Caleb_Williams
Horror,The Monk,https://www.goodreads.com/book/show/93157.The_Monk
Horror,The Best Tales of Hoffmann,https://www.goodreads.com/book/show/247625.The_Best_Tales_of_Hoffmann
Horror,Northanger Abbey,https://www.goodreads.com/book/show/50398.Northanger_Abbey
Horror,Dark Feasts: The World Of Ramsey Campbell,https://www.goodreads.com/book/show/32467.Dark_Feasts
Horror,Frankenstein,https://www.goodreads.com/book/show/18490.Frankenstein
Horror,Melmoth the Wanderer,https://www.goodreads.com/book/show/207313.Melmoth_the_Wanderer
